Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Bodyweight Alternating Cossack Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight,0,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Bodyweight Knee Over Toes Split Squat ,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Knee Over Toes Split Stance Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Knee Over Toes Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Back Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Knee Over Toes Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Knee Over Toes Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Barbell Overhead Press,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Barbell Single Leg Bent Knee Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,1,,,Single Leg Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Slider Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Sliders,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Wall Facing Handstand,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Freestanding Handstand ,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Suspension Atomic Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Suspension Trainer,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Suspension Pike,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Suspension Side Plank Reach Through,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis ,,Suspension Trainer,1,,,Side Plank,Single Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Cocoon Crunch,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,Double Arm,Continuous,No Grip,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Ab Wheel Standing Rollout,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Ab Wheel,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Cable Fire Hydrant,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,,,Quadruped,No Arms,Continuous,Flat Palm,Other,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Cable Tall Kneeling Pull Through,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Cable,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,Bodybuilding
Stability Ball Bent Knee Reverse Hyperextension,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Head Supported,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Isolation,Bilateral,
Bent Knee Reverse Hyperextension on Bench,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,0,Bench (Flat),1,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Isolation,Bilateral,
Parallette Tuck L Sit,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,L Sit,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette Close Grip Push Up,Video Demonstration,,Intermediate,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars,1,,,Prone,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Feet Elevated Close Grip Tricep Push Up,,,Intermediate,Chest,Triceps Brachii,Pectoralis Major,,Parallette Bars,1,,,Prone,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Single Leg L Sit,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,L Sit,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Stability Ball Bottoms Up,,,Intermediate,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,No Arms,Continuous,No Grip,Other,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Windshield Wiper,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Stability Ball,1,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Tall Kneeling Balance,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Tall Kneeling,No Arms,Continuous,No Grip,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Balance
Stability Ball Oblique Crunch ,,Video Explanation,Beginner,Abdominals,Obliques,,,Stability Ball,1,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Elbow Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Forearm,Other,Single Exercise,Anti-Extension,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,
Double Kettlebell Feet Elevated Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Supine,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Dumbbell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,,,Supine,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Landmine Turkish Sit Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Landmine,1,,,Supine,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Double Kettlebell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Supine,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Double Dumbbell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,2,,,Supine,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Double Kettlebell Turkish Sit Up to Z Press,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,,Kettlebell,2,,,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Spinal Flexion,Vertical Push,,Sagittal Plane,,,Midsection,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Swing,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Front Rack Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Front Rack Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Split Stance Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Front Rack Carry,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Walking,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Single Arm Kettlebell Front Rack Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Squat Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Stability Ball Feet Elevated Parallette Push Up,,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Stability Ball,1,Parallette Bars,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Stability Ball Feet Elevated Parallette Plank,,,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,Parallette Bars,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Feet Elevated Single Arm Parallette Plank,,,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,Parallette Bars,1,Prone,Single Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Stability Ball Feet Elevated Alternating Single Arm Parallette Plank,,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,Parallette Bars,2,Prone,Single Arm,Alternating,Neutral,No Load,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Archer Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,,,Bodyweight,0,,,Prone,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
Parallette Archer Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,,,Parallette Bars,2,,,Prone,Double Arm,Alternating,Neutral,No Load,Single Exercise,Horizontal Push,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
Parallette Wide Push Up,Video Demonstration,,Novice,Chest,Pectoralis Major,,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Double Dumbbell Suitcase Knee Over Toes Split Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Front Raise,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Dumbbell,2,,,Standing,Double Arm,Alternating,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Barbell Front Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Cable Front Raise,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Cable Straight Bar Front Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Cable Half Kneeling Pallof Press,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,,Half Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Push,Isolation,Bilateral,
Kettlebell Bottoms Up Horn Grip Standing Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Kettlebell,1,,,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Carry,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Double Kettlebell Bottoms Up Front Rack Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Walking,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Double Kettlebell Bottoms Up Overhead Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Walking,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Bodybuilding
Barbell Kneeling Rollout,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Barbell,1,,,Kneeling,Double Arm,Continuous,Pronated,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Barbell Close Grip Bench Press,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Barbell,1,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Suspension Chest Press,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Suspension Trainer,1,,,Standing,Single Arm,Continuous,Pronated,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Cable Tall Kneeling Pallof Press,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Single Arm Cable Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Standing,Single Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Single Arm Cable Shotgun Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Cable,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Barbell Hang Power Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Landmine Goblet Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Ring Shoulder Stand,Video Demonstration,Video Explanation,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,
Ring Strap Handstand,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
